"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_auc"
"ENSG00000136854.24",10.558881710998,0.742605714246261,0.182530070740916,4.06840205140949,4.73366519483952e-05,0.00047467185802868,0.664406779661017
"ENSG00000160401.15",0.27371156479669,2.06153149998486,0.85460119594186,2.41227312783343,0.0158534004477538,0.0458287344258866,0.573805855161787
"ENSG00000136807.14",26.2294149350636,-0.28124618331551,0.100750782620963,-2.79150370844853,0.00524637564402257,0.0199739140776209,0.659476117103236
"ENSG00000106991.14",14.4447934573767,0.44006452148505,0.177325774380049,2.48167263345425,0.0130767350582306,0.0396496904799762,0.58828967642527
"ENSG00000106992.19",1.40655374540973,0.850419889007131,0.288418076196535,2.9485665400099,0.00319251404672006,0.0136848522971769,0.577503852080123
"ENSG00000160408.16",0.604257927262906,1.73068815108119,0.45337825725439,3.8173161667744,0.000134911240312098,0.00111935760401918,0.541448382126348
"ENSG00000167106.12",27.2411856028337,-0.73958771809136,0.171530180662686,-4.31170605215976,1.61999708321463e-05,0.000199598887683413,0.744838212634823
"ENSG00000148346.12",53.389432237651,0.630522219268936,0.2162139490828,2.91619584186715,0.00354328012926645,0.0148646307233543,0.608936825885978
"ENSG00000167123.19",1.19006695030769,1.32416443103431,0.393141676178518,3.36816092332331,0.000756714138359677,0.00442633815248728,0.564252696456086
"ENSG00000197694.18",172.413297959993,-0.461535131160284,0.101596604752981,-4.54282042478138,5.55065333775201e-06,8.28547352845057e-05,0.722958397534669
"ENSG00000119333.12",6.37608144249529,0.48861278623982,0.184758835443061,2.64459767278843,0.00817880984085739,0.0279516511230033,0.63020030816641
"ENSG00000223478.1",1.99380082222341,0.848588893455161,0.280731821235096,3.02277415407254,0.00250469093786086,0.0113594003351937,0.600154083204931
"ENSG00000167136.7",1.77834877364976,-0.846692429269389,0.284324267413929,-2.97791123132218,0.00290220025526411,0.0126874331885383,0.701386748844376
"ENSG00000136802.12",14.1052046598849,0.606479486604884,0.142874429206366,4.24484276139358,2.1874675752851e-05,0.000254769911281648,0.712788906009245
"ENSG00000204055.5",0.344540299606366,1.57123172617434,0.656280768834456,2.39414561692067,0.0166591334215022,0.0475803895758449,0.542064714946071
"ENSG00000148335.15",4.33789405907776,0.521781139057731,0.203955358007532,2.55831052518102,0.010518212188487,0.0337361057845114,0.599691833590139
"ENSG00000187239.17",147.894952119793,-0.255022427887045,0.0710082827826315,-3.59144620730673,0.000328848057930838,0.00225523014861587,0.718027734976888
"ENSG00000196979.1",0.351484223772525,2.14977130008229,0.711528886726666,3.02134086217097,0.0025165788566785,0.0113952727735775,0.610785824345146
"ENSG00000107130.10",1.30309382112874,1.15743748254312,0.408326301385218,2.83458958831844,0.00458845905451751,0.0180139503621798,0.548228043143297
